,sample1,sample2,bNRI,RC,Process,Process_contribution
CWR.1,CWRTRS1Y_2019,CWRTRS1Y_2018,-2.610886293,-0.498,Environmental filtering,1
CWR.2,CWRTRS2Y_2018,CWRTRS1Y_2018,1.557323555,-0.988,Homogenizing dispersal,1
CWR.3,CWRTRS2Y_2019,CWRTRS1Y_2018,-2.16178908,-0.911,Environmental filtering,1
CWR.4,CWRTRS3Y_2018,CWRTRS1Y_2018,-1.323470309,0.97,Dispersal limitation,1
CWR.5,CWRTRS3Y_2019,CWRTRS1Y_2018,-3.147837125,0.878,Environmental filtering,1
CWR.6,CWRTRS4Y_2018,CWRTRS1Y_2018,-1.305668924,0.998,Dispersal limitation,1
CWR.7,CWRTRS4Y_2019,CWRTRS1Y_2018,-2.538008083,-0.56,Environmental filtering,1
CWR.8,CWRTRS5Y_2019,CWRTRS1Y_2018,-2.561439851,0.783,Environmental filtering,1
CWR.9,CWRTRS6Y_2018,CWRTRS1Y_2018,-1.253889595,-0.952,Homogenizing dispersal,1
CWR.10,CWRTRS6Y_2019,CWRTRS1Y_2018,-3.517156818,0.988,Environmental filtering,1
CWR.11,CWRTRS2Y_2018,CWRTRS1Y_2019,1.044123393,-0.996,Homogenizing dispersal,1
CWR.12,CWRTRS2Y_2019,CWRTRS1Y_2019,-2.236892477,-1,Environmental filtering,1
CWR.13,CWRTRS3Y_2018,CWRTRS1Y_2019,-1.605801576,0.268,Ecological Drift,1
CWR.14,CWRTRS3Y_2019,CWRTRS1Y_2019,-3.084502663,-0.75,Environmental filtering,1
CWR.15,CWRTRS4Y_2018,CWRTRS1Y_2019,-1.60386695,0.792,Ecological Drift,1
CWR.16,CWRTRS4Y_2019,CWRTRS1Y_2019,-2.50927294,-1,Environmental filtering,1
CWR.17,CWRTRS5Y_2019,CWRTRS1Y_2019,-2.507676992,-0.99,Environmental filtering,1
CWR.18,CWRTRS6Y_2018,CWRTRS1Y_2019,-1.559994254,-0.226,Ecological Drift,1
CWR.19,CWRTRS6Y_2019,CWRTRS1Y_2019,-3.219114836,-0.954,Environmental filtering,1
CWR.20,CWRTRS2Y_2019,CWRTRS2Y_2018,1.008861617,-1,Homogenizing dispersal,1
CWR.21,CWRTRS3Y_2018,CWRTRS2Y_2018,1.949657715,-0.886,Ecological Drift,1
CWR.22,CWRTRS3Y_2019,CWRTRS2Y_2018,0.894666365,-1,Homogenizing dispersal,1
CWR.23,CWRTRS4Y_2018,CWRTRS2Y_2018,1.970989505,-0.808,Ecological Drift,1
CWR.24,CWRTRS4Y_2019,CWRTRS2Y_2018,1.245883254,-0.994,Homogenizing dispersal,1
CWR.25,CWRTRS5Y_2019,CWRTRS2Y_2018,1.328799007,-0.994,Homogenizing dispersal,1
CWR.26,CWRTRS6Y_2018,CWRTRS2Y_2018,1.399466328,-1,Homogenizing dispersal,1
CWR.27,CWRTRS6Y_2019,CWRTRS2Y_2018,0.825350737,-0.151,Ecological Drift,1
CWR.28,CWRTRS3Y_2018,CWRTRS2Y_2019,-1.278750243,-1,Homogenizing dispersal,1
CWR.29,CWRTRS3Y_2019,CWRTRS2Y_2019,-2.549262701,-1,Environmental filtering,1
CWR.30,CWRTRS4Y_2018,CWRTRS2Y_2019,-1.335586126,-1,Homogenizing dispersal,1
CWR.31,CWRTRS4Y_2019,CWRTRS2Y_2019,-2.236359275,-1,Environmental filtering,1
CWR.32,CWRTRS5Y_2019,CWRTRS2Y_2019,-2.185493157,-0.989,Environmental filtering,1
CWR.33,CWRTRS6Y_2018,CWRTRS2Y_2019,-1.313864488,-1,Homogenizing dispersal,1
CWR.34,CWRTRS6Y_2019,CWRTRS2Y_2019,-2.832752738,-0.578,Environmental filtering,1
CWR.35,CWRTRS3Y_2019,CWRTRS3Y_2018,-1.883852555,-0.716,Ecological Drift,1
CWR.36,CWRTRS4Y_2018,CWRTRS3Y_2018,-0.35381886,-1,Homogenizing dispersal,1
CWR.37,CWRTRS4Y_2019,CWRTRS3Y_2018,-1.482520032,0.401,Ecological Drift,1
CWR.38,CWRTRS5Y_2019,CWRTRS3Y_2018,-1.430693157,0.965,Dispersal limitation,1
CWR.39,CWRTRS6Y_2018,CWRTRS3Y_2018,-0.606268189,-0.996,Homogenizing dispersal,1
CWR.40,CWRTRS6Y_2019,CWRTRS3Y_2018,-2.383443969,1,Environmental filtering,1
CWR.41,CWRTRS4Y_2018,CWRTRS3Y_2019,-2.022847772,-0.232,Environmental filtering,1
CWR.42,CWRTRS4Y_2019,CWRTRS3Y_2019,-3.036258082,-1,Environmental filtering,1
CWR.43,CWRTRS5Y_2019,CWRTRS3Y_2019,-2.892297314,-0.978,Environmental filtering,1
CWR.44,CWRTRS6Y_2018,CWRTRS3Y_2019,-1.796453821,-1,Homogenizing dispersal,1
CWR.45,CWRTRS6Y_2019,CWRTRS3Y_2019,-3.727396733,0.4,Environmental filtering,1
CWR.46,CWRTRS4Y_2019,CWRTRS4Y_2018,-1.579063301,0.542,Ecological Drift,1
CWR.47,CWRTRS5Y_2019,CWRTRS4Y_2018,-1.453501597,0.95,Ecological Drift,1
CWR.48,CWRTRS6Y_2018,CWRTRS4Y_2018,-0.643399214,-0.99,Homogenizing dispersal,1
CWR.49,CWRTRS6Y_2019,CWRTRS4Y_2018,-2.2847906,1,Environmental filtering,1
CWR.50,CWRTRS5Y_2019,CWRTRS4Y_2019,-2.443455928,-1,Environmental filtering,1
CWR.51,CWRTRS6Y_2018,CWRTRS4Y_2019,-1.471420533,-0.841,Ecological Drift,1
CWR.52,CWRTRS6Y_2019,CWRTRS4Y_2019,-3.255843423,-0.51,Environmental filtering,1
CWR.53,CWRTRS6Y_2018,CWRTRS5Y_2019,-1.421348099,-0.325,Ecological Drift,1
CWR.54,CWRTRS6Y_2019,CWRTRS5Y_2019,-3.169750488,-0.942,Environmental filtering,1
CWR.55,CWRTRS6Y_2019,CWRTRS6Y_2018,-2.033843408,0.964,Environmental filtering,1
DMR.1,DMRTRS2Y_2019,DMRTRS1Y_2019,-1.658861436,0.866,Ecological Drift,1
DMR.2,DMRTRS3Y_2019,DMRTRS1Y_2019,-1.320382457,-0.992,Homogenizing dispersal,1
DMR.3,DMRTRS4Y_2019,DMRTRS1Y_2019,-1.70467216,0.015,Ecological Drift,1
DMR.4,DMRTRS5Y_2019,DMRTRS1Y_2019,-2.393674793,0.119,Environmental filtering,1
DMR.5,DMRTRS6Y_2019,DMRTRS1Y_2019,-2.333688882,0.992,Environmental filtering,1
DMR.6,DMRTRS3Y_2019,DMRTRS2Y_2019,-0.075592479,-0.758,Ecological Drift,1
DMR.7,DMRTRS4Y_2019,DMRTRS2Y_2019,-0.875015719,0.589,Ecological Drift,1
DMR.8,DMRTRS5Y_2019,DMRTRS2Y_2019,-1.48285569,-0.755,Ecological Drift,1
DMR.9,DMRTRS6Y_2019,DMRTRS2Y_2019,-1.541830782,0.779,Ecological Drift,1
DMR.10,DMRTRS4Y_2019,DMRTRS3Y_2019,-0.140703428,0.689,Ecological Drift,1
DMR.11,DMRTRS5Y_2019,DMRTRS3Y_2019,-0.948282357,0.031,Ecological Drift,1
DMR.12,DMRTRS6Y_2019,DMRTRS3Y_2019,-0.599493526,0.878,Ecological Drift,1
DMR.13,DMRTRS5Y_2019,DMRTRS4Y_2019,-1.539283811,-0.385,Ecological Drift,1
DMR.14,DMRTRS6Y_2019,DMRTRS4Y_2019,-1.424071335,0.487,Ecological Drift,1
DMR.15,DMRTRS6Y_2019,DMRTRS5Y_2019,-2.129046668,0.396,Environmental filtering,1
HSC.1,HSCTRS1Y_2019,HSCTRS1Y_2018,-1.806873243,-0.871,Ecological Drift,1
HSC.2,HSCTRS2Y_2018,HSCTRS1Y_2018,-1.335587812,-0.971,Homogenizing dispersal,1
HSC.3,HSCTRS2Y_2019,HSCTRS1Y_2018,-0.827314899,-0.921,Ecological Drift,1
HSC.4,HSCTRS3Y_2018,HSCTRS1Y_2018,-1.421551811,-0.776,Ecological Drift,1
HSC.5,HSCTRS3Y_2019,HSCTRS1Y_2018,-2.151325728,-0.634,Environmental filtering,1
HSC.6,HSCTRS4Y_2018,HSCTRS1Y_2018,-0.925335831,-0.996,Homogenizing dispersal,1
HSC.7,HSCTRS4Y_2019,HSCTRS1Y_2018,-0.968469347,-1,Homogenizing dispersal,1
HSC.8,HSCTRS5Y_2019,HSCTRS1Y_2018,-0.152755663,-1,Homogenizing dispersal,1
HSC.9,HSCTRS6Y_2019,HSCTRS1Y_2018,-1.479839382,-1,Homogenizing dispersal,1
HSC.10,HSCTRS2Y_2018,HSCTRS1Y_2019,-3.003686672,-0.561,Environmental filtering,1
HSC.11,HSCTRS2Y_2019,HSCTRS1Y_2019,-2.022022105,-0.955,Environmental filtering,1
HSC.12,HSCTRS3Y_2018,HSCTRS1Y_2019,-3.047875694,-0.723,Environmental filtering,1
HSC.13,HSCTRS3Y_2019,HSCTRS1Y_2019,-3.627762607,-0.91,Environmental filtering,1
HSC.14,HSCTRS4Y_2018,HSCTRS1Y_2019,-2.185889406,0.857,Environmental filtering,1
HSC.15,HSCTRS4Y_2019,HSCTRS1Y_2019,-1.672981546,-0.999,Homogenizing dispersal,1
HSC.16,HSCTRS5Y_2019,HSCTRS1Y_2019,-1.089717871,0.788,Ecological Drift,1
HSC.17,HSCTRS6Y_2019,HSCTRS1Y_2019,-2.742830245,0.342,Environmental filtering,1
HSC.18,HSCTRS2Y_2019,HSCTRS2Y_2018,-1.492510646,-0.703,Ecological Drift,1
HSC.19,HSCTRS3Y_2018,HSCTRS2Y_2018,-2.482753781,-0.173,Environmental filtering,1
HSC.20,HSCTRS3Y_2019,HSCTRS2Y_2018,-3.11308416,-0.982,Environmental filtering,1
HSC.21,HSCTRS4Y_2018,HSCTRS2Y_2018,-1.675026343,0.975,Dispersal limitation,1
HSC.22,HSCTRS4Y_2019,HSCTRS2Y_2018,-1.320685243,-0.993,Homogenizing dispersal,1
HSC.23,HSCTRS5Y_2019,HSCTRS2Y_2018,-0.497918554,-0.02,Ecological Drift,1
HSC.24,HSCTRS6Y_2019,HSCTRS2Y_2018,-2.311185436,0.843,Environmental filtering,1
HSC.25,HSCTRS3Y_2018,HSCTRS2Y_2019,-1.481073183,-0.942,Ecological Drift,1
HSC.26,HSCTRS3Y_2019,HSCTRS2Y_2019,-2.242006099,-0.996,Environmental filtering,1
HSC.27,HSCTRS4Y_2018,HSCTRS2Y_2019,-0.873310037,0.853,Ecological Drift,1
HSC.28,HSCTRS4Y_2019,HSCTRS2Y_2019,-0.972533609,-0.452,Ecological Drift,1
HSC.29,HSCTRS5Y_2019,HSCTRS2Y_2019,0.113599768,-0.764,Ecological Drift,1
HSC.30,HSCTRS6Y_2019,HSCTRS2Y_2019,-1.565816577,-0.784,Ecological Drift,1
HSC.31,HSCTRS3Y_2019,HSCTRS3Y_2018,-3.284039051,-0.697,Environmental filtering,1
HSC.32,HSCTRS4Y_2018,HSCTRS3Y_2018,-1.764790795,1,Dispersal limitation,1
HSC.33,HSCTRS4Y_2019,HSCTRS3Y_2018,-1.391235043,-0.659,Ecological Drift,1
HSC.34,HSCTRS5Y_2019,HSCTRS3Y_2018,-0.492789206,0.642,Ecological Drift,1
HSC.35,HSCTRS6Y_2019,HSCTRS3Y_2018,-2.277456857,-0.128,Environmental filtering,1
HSC.36,HSCTRS4Y_2018,HSCTRS3Y_2019,-2.553815569,-0.624,Environmental filtering,1
HSC.37,HSCTRS4Y_2019,HSCTRS3Y_2019,-1.851862882,-1,Homogenizing dispersal,1
HSC.38,HSCTRS5Y_2019,HSCTRS3Y_2019,-1.392387755,-0.918,Ecological Drift,1
HSC.39,HSCTRS6Y_2019,HSCTRS3Y_2019,-2.901353648,-0.986,Environmental filtering,1
HSC.40,HSCTRS4Y_2019,HSCTRS4Y_2018,-1.009689396,-0.99,Homogenizing dispersal,1
HSC.41,HSCTRS5Y_2019,HSCTRS4Y_2018,-0.010680139,-0.088,Ecological Drift,1
HSC.42,HSCTRS6Y_2019,HSCTRS4Y_2018,-1.74427982,-0.432,Ecological Drift,1
HSC.43,HSCTRS5Y_2019,HSCTRS4Y_2019,-0.452246626,-1,Homogenizing dispersal,1
HSC.44,HSCTRS6Y_2019,HSCTRS4Y_2019,-1.517112406,-0.998,Homogenizing dispersal,1
HSC.45,HSCTRS6Y_2019,HSCTRS5Y_2019,-0.870043293,-0.994,Homogenizing dispersal,1
HTM.1,HTMTRS2Y_2019,HTMTRS1Y_2019,-0.415783531,-0.901,Ecological Drift,1
HTM.2,HTMTRS3Y_2019,HTMTRS1Y_2019,-0.66716617,-0.924,Ecological Drift,1
HTM.3,HTMTRS4Y_2019,HTMTRS1Y_2019,-0.204902589,-0.433,Ecological Drift,1
HTM.4,HTMTRS5Y_2019,HTMTRS1Y_2019,-0.602304517,-0.974,Homogenizing dispersal,1
HTM.5,HTMTRS6Y_2019,HTMTRS1Y_2019,-0.14975102,-0.654,Ecological Drift,1
HTM.6,HTMTRS3Y_2019,HTMTRS2Y_2019,-1.056581274,0.016,Ecological Drift,1
HTM.7,HTMTRS4Y_2019,HTMTRS2Y_2019,-0.411049651,0.708,Ecological Drift,1
HTM.8,HTMTRS5Y_2019,HTMTRS2Y_2019,-0.923666475,-0.446,Ecological Drift,1
HTM.9,HTMTRS6Y_2019,HTMTRS2Y_2019,-0.353416865,0.602,Ecological Drift,1
HTM.10,HTMTRS4Y_2019,HTMTRS3Y_2019,-0.964487388,0.157,Ecological Drift,1
HTM.11,HTMTRS5Y_2019,HTMTRS3Y_2019,-1.498437185,0.306,Ecological Drift,1
HTM.12,HTMTRS6Y_2019,HTMTRS3Y_2019,-1.2901144,0.943,Ecological Drift,1
HTM.13,HTMTRS5Y_2019,HTMTRS4Y_2019,-0.84479471,0.338,Ecological Drift,1
HTM.14,HTMTRS6Y_2019,HTMTRS4Y_2019,-0.552391619,0.976,Dispersal limitation,1
HTM.15,HTMTRS6Y_2019,HTMTRS5Y_2019,-1.119496563,-0.575,Ecological Drift,1
KNZ.1,KNZKNZ1_2Y_2020,KNZKNZ1_1Y_2020,-0.299477887,-1,Homogenizing dispersal,1
KNZ.2,KNZKNZ1_3Y_2020,KNZKNZ1_1Y_2020,-0.333193054,-1,Homogenizing dispersal,1
KNZ.3,KNZKNZ1_4Y_2020,KNZKNZ1_1Y_2020,-1.346763876,-0.922,Ecological Drift,1
KNZ.4,KNZKNZ2_1Y_2020,KNZKNZ1_1Y_2020,-0.908312233,-0.988,Homogenizing dispersal,1
KNZ.5,KNZKNZ2_2Y_2020,KNZKNZ1_1Y_2020,-0.609821941,-0.888,Ecological Drift,1
KNZ.6,KNZKNZ2_3Y_2020,KNZKNZ1_1Y_2020,-0.365824311,-0.998,Homogenizing dispersal,1
KNZ.7,KNZKNZ2_4Y_2020,KNZKNZ1_1Y_2020,-0.990818457,-0.77,Ecological Drift,1
KNZ.8,KNZKNZ3_1Y_2020,KNZKNZ1_1Y_2020,-1.221667643,-0.916,Ecological Drift,1
KNZ.9,KNZKNZ3_2Y_2020,KNZKNZ1_1Y_2020,-0.621274791,-0.87,Ecological Drift,1
KNZ.10,KNZKNZ3_3Y_2020,KNZKNZ1_1Y_2020,-1.051027764,-0.983,Homogenizing dispersal,1
KNZ.11,KNZKNZ3_4Y_2020,KNZKNZ1_1Y_2020,0.552220834,-0.814,Ecological Drift,1
KNZ.12,KNZKNZ1_3Y_2020,KNZKNZ1_2Y_2020,-0.569363245,-1,Homogenizing dispersal,1
KNZ.13,KNZKNZ1_4Y_2020,KNZKNZ1_2Y_2020,-1.62034631,-0.994,Homogenizing dispersal,1
KNZ.14,KNZKNZ2_1Y_2020,KNZKNZ1_2Y_2020,-1.042803261,-1,Homogenizing dispersal,1
KNZ.15,KNZKNZ2_2Y_2020,KNZKNZ1_2Y_2020,-1.019260365,-0.887,Ecological Drift,1
KNZ.16,KNZKNZ2_3Y_2020,KNZKNZ1_2Y_2020,-0.561690648,-0.998,Homogenizing dispersal,1
KNZ.17,KNZKNZ2_4Y_2020,KNZKNZ1_2Y_2020,-1.035516204,-1,Homogenizing dispersal,1
KNZ.18,KNZKNZ3_1Y_2020,KNZKNZ1_2Y_2020,-1.431530452,-0.992,Homogenizing dispersal,1
KNZ.19,KNZKNZ3_2Y_2020,KNZKNZ1_2Y_2020,-0.768131721,-0.981,Homogenizing dispersal,1
KNZ.20,KNZKNZ3_3Y_2020,KNZKNZ1_2Y_2020,-1.375790343,-1,Homogenizing dispersal,1
KNZ.21,KNZKNZ3_4Y_2020,KNZKNZ1_2Y_2020,0.18739124,-0.998,Homogenizing dispersal,1
KNZ.22,KNZKNZ1_4Y_2020,KNZKNZ1_3Y_2020,-1.551151946,-1,Homogenizing dispersal,1
KNZ.23,KNZKNZ2_1Y_2020,KNZKNZ1_3Y_2020,-1.071570034,-1,Homogenizing dispersal,1
KNZ.24,KNZKNZ2_2Y_2020,KNZKNZ1_3Y_2020,-0.898738972,-0.808,Ecological Drift,1
KNZ.25,KNZKNZ2_3Y_2020,KNZKNZ1_3Y_2020,-0.574321831,-0.994,Homogenizing dispersal,1
KNZ.26,KNZKNZ2_4Y_2020,KNZKNZ1_3Y_2020,-1.104606609,-0.96,Homogenizing dispersal,1
KNZ.27,KNZKNZ3_1Y_2020,KNZKNZ1_3Y_2020,-1.377949708,-0.998,Homogenizing dispersal,1
KNZ.28,KNZKNZ3_2Y_2020,KNZKNZ1_3Y_2020,-0.800710689,-0.952,Homogenizing dispersal,1
KNZ.29,KNZKNZ3_3Y_2020,KNZKNZ1_3Y_2020,-1.316821632,-0.954,Homogenizing dispersal,1
KNZ.30,KNZKNZ3_4Y_2020,KNZKNZ1_3Y_2020,0.276876682,-0.992,Homogenizing dispersal,1
KNZ.31,KNZKNZ2_1Y_2020,KNZKNZ1_4Y_2020,-2.067502069,-0.968,Environmental filtering,1
KNZ.32,KNZKNZ2_2Y_2020,KNZKNZ1_4Y_2020,-2.086481232,-0.531,Environmental filtering,1
KNZ.33,KNZKNZ2_3Y_2020,KNZKNZ1_4Y_2020,-1.643343976,-0.91,Ecological Drift,1
KNZ.34,KNZKNZ2_4Y_2020,KNZKNZ1_4Y_2020,-2.315548952,-0.331,Environmental filtering,1
KNZ.35,KNZKNZ3_1Y_2020,KNZKNZ1_4Y_2020,-2.620466054,0.205,Environmental filtering,1
KNZ.36,KNZKNZ3_2Y_2020,KNZKNZ1_4Y_2020,-1.93697149,-0.139,Ecological Drift,1
KNZ.37,KNZKNZ3_3Y_2020,KNZKNZ1_4Y_2020,-2.445988573,-0.952,Environmental filtering,1
KNZ.38,KNZKNZ3_4Y_2020,KNZKNZ1_4Y_2020,-0.70605973,-0.484,Ecological Drift,1
KNZ.39,KNZKNZ2_2Y_2020,KNZKNZ2_1Y_2020,-1.40020761,-0.998,Homogenizing dispersal,1
KNZ.40,KNZKNZ2_3Y_2020,KNZKNZ2_1Y_2020,-1.119355887,-0.999,Homogenizing dispersal,1
KNZ.41,KNZKNZ2_4Y_2020,KNZKNZ2_1Y_2020,-1.757659577,-0.564,Ecological Drift,1
KNZ.42,KNZKNZ3_1Y_2020,KNZKNZ2_1Y_2020,-1.895025824,-0.998,Homogenizing dispersal,1
KNZ.43,KNZKNZ3_2Y_2020,KNZKNZ2_1Y_2020,-1.346752458,-0.992,Homogenizing dispersal,1
KNZ.44,KNZKNZ3_3Y_2020,KNZKNZ2_1Y_2020,-1.768789537,-0.998,Homogenizing dispersal,1
KNZ.45,KNZKNZ3_4Y_2020,KNZKNZ2_1Y_2020,-0.285810764,-0.956,Homogenizing dispersal,1
KNZ.46,KNZKNZ2_3Y_2020,KNZKNZ2_2Y_2020,-0.861326344,-0.998,Homogenizing dispersal,1
