sample2,X2Yearsample2,Hostsample2,Yearsample2,YearMAP1samp2,YearMAP2samp2,Hostsamp2,Codesamp2,Locationsamp2,Regionsamp2,MAPsamp2,Latitudesamp2,Longitudesamp2,Ecoregionsamp2,Sitesamp2,MAP.station.climsamp2,MAP1.climsamp2,MAP2.climsamp2,RegionMAPsamp2,Region_MAP2samp2,Region_MAP_Intervalsamp2,Region_MAP_Interval2samp2,Region_MAP_Interval3samp2,Categorical_MAPsamp2
CWRTRS1Y_2018,Yes,Yes,Y_2018,45.1,1008.3,SCSC,CWR,Cottonwood River SNA,Central,699,44.1214157,-95.06171,Northern Tallgrass Prairie,CWRCornY_2018,Windom,679.2,679.2,679.2,679.2,679.2,679.2,679.2,Mid MAP
CWRTRS1Y_2019,Yes,No,Y_2019,45.1,1075,SCSC,CWR,Cottonwood River SNA,Central,699,44.12141,-95.06171,Northern Tallgrass Prairie,CWRCornY_2018,Windom,679.2,679.2,679.2,679.2,679.2,679.2,679.2,Mid MAP
CWRTRS2Y_2018,Yes,Yes,Y_2018,45.1,1008.3,SCSC,CWR,Cottonwood River SNA,Central,699,44.1214158,-95.06171,Northern Tallgrass Prairie,CWRCornY_2018,Windom,679.2,679.2,679.2,679.2,679.2,679.2,679.2,Mid MAP
CWRTRS2Y_2019,Yes,No,Y_2019,45.1,1075,SCSC,CWR,Cottonwood River SNA,Central,699,44.12141,-95.06171,Northern Tallgrass Prairie,CWRCornY_2018,Windom,679.2,679.2,679.2,679.2,679.2,679.2,679.2,Mid MAP
CWRTRS3Y_2018,Yes,Yes,Y_2018,45.1,1008.3,SCSC,CWR,Cottonwood River SNA,Central,699,44.1214139,-95.06171,Northern Tallgrass Prairie,CWRCornY_2018,Windom,679.2,679.2,679.2,679.2,679.2,679.2,679.2,Mid MAP
CWRTRS3Y_2019,Yes,No,Y_2019,45.1,1075,SCSC,CWR,Cottonwood River SNA,Central,699,44.12141,-95.06171,Northern Tallgrass Prairie,CWRCornY_2018,Windom,679.2,679.2,679.2,679.2,679.2,679.2,679.2,Mid MAP
CWRTRS4Y_2018,Yes,Yes,Y_2018,45.1,1008.3,SCSC,CWR,Cottonwood River SNA,Central,699,44.1214158,-95.0617125,Northern Tallgrass Prairie,CWRCornY_2018,Windom,679.2,679.2,679.2,679.2,679.2,679.2,679.2,Mid MAP
CWRTRS4Y_2019,Yes,No,Y_2019,45.1,1075,SCSC,CWR,Cottonwood River SNA,Central,699,44.12141,-95.06171,Northern Tallgrass Prairie,CWRCornY_2018,Windom,679.2,679.2,679.2,679.2,679.2,679.2,679.2,Mid MAP
CWRTRS5Y_2019,Yes,No,Y_2019,45.1,1075,SCSC,CWR,Cottonwood River SNA,Central,699,44.12141,-95.06171,Northern Tallgrass Prairie,CWRCornY_2018,Windom,679.2,679.2,679.2,679.2,679.2,679.2,679.2,Mid MAP
CWRTRS6Y_2018,Yes,Yes,Y_2018,40.3,1008.3,SCSC,CWR,Cottonwood River SNA,Central,699,44.12141,-95.06171,Northern Tallgrass Prairie,CWRCornY_2018,Windom,679.2,679.2,679.2,679.2,679.2,679.2,679.2,Mid MAP
CWRTRS6Y_2019,Yes,No,Y_2019,45.1,1075,SCSC,CWR,Cottonwood River SNA,Central,699,44.12141,-95.06171,Northern Tallgrass Prairie,CWRCornY_2018,Windom,679.2,679.2,679.2,679.2,679.2,679.2,679.2,Mid MAP
CWRY_2018,Yes,Yes,Y_2018,45.1,1008.3,Corn,CWR,Cottonwood River SNA,Central,699,44.1214121,-95.0617142,Northern Tallgrass Prairie,CWRCornY_2018,Windom,679.2,679.2,679.2,679.2,679.2,679.2,679.2,Mid MAP
DMRTRS1Y_2019,No,No,Y_2019,NA,1075,SCSC,DMR,Des Moines River Prairie,Central,704,43.47572,-95.4505,Northern Tallgrass Prairie,DMRSCSCY_2019,Windom,683.8,710.1,679.2,679.2,679.2,679.2,679.2,Mid MAP
DMRTRS2Y_2019,No,No,Y_2019,NA,1075,SCSC,DMR,Des Moines River Prairie,Central,704,43.47572,-95.4505,Northern Tallgrass Prairie,DMRSCSCY_2019,Windom,683.8,710.1,679.2,679.2,679.2,679.2,679.2,Mid MAP
DMRTRS3Y_2019,No,No,Y_2019,NA,1075,SCSC,DMR,Des Moines River Prairie,Central,704,43.47572,-95.450545,Northern Tallgrass Prairie,DMRSCSCY_2019,Windom,683.8,710.1,679.2,679.2,679.2,679.2,679.2,Mid MAP
DMRTRS4Y_2019,No,No,Y_2019,NA,1075,SCSC,DMR,Des Moines River Prairie,Central,704,43.475742,-95.4505,Northern Tallgrass Prairie,DMRSCSCY_2019,Windom,683.8,710.1,679.2,679.2,679.2,679.2,679.2,Mid MAP
DMRTRS5Y_2019,No,No,Y_2019,NA,1075,SCSC,DMR,Des Moines River Prairie,Central,704,43.47572,-95.4505,Northern Tallgrass Prairie,DMRSCSCY_2019,Windom,683.8,710.1,679.2,679.2,679.2,679.2,679.2,Mid MAP
DMRTRS6Y_2019,No,No,Y_2019,NA,1075,SCSC,DMR,Des Moines River Prairie,Central,704,43.47572,-95.4505,Northern Tallgrass Prairie,DMRSCSCY_2019,Windom,683.8,710.1,679.2,679.2,679.2,679.2,679.2,Mid MAP
HSCTRS1Y_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242847,-92.496194,Prairie-Forest Border,HSCCornY_2018,Hastings,840.4,845.6,840.4,837.9,840.4,840.4,840.4,High MAP
HSCTRS1Y_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border,HSCCornY_2018,Hastings,840.4,845.6,840.4,837.9,840.4,840.4,840.4,High MAP
HSCTRS2Y_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242809,-92.496195,Prairie-Forest Border,HSCCornY_2018,Hastings,840.4,845.6,840.4,837.9,840.4,840.4,840.4,High MAP
HSCTRS2Y_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border,HSCCornY_2018,Hastings,840.4,845.6,840.4,837.9,840.4,840.4,840.4,High MAP
HSCTRS3Y_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242847,-92.49619,Prairie-Forest Border,HSCCornY_2018,Hastings,840.4,845.6,840.4,837.9,840.4,840.4,840.4,High MAP
HSCTRS3Y_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border,HSCCornY_2018,Hastings,840.4,845.6,840.4,837.9,840.4,840.4,840.4,High MAP
HSCTRS4Y_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242829,-92.4961958,Prairie-Forest Border,HSCCornY_2018,Hastings,840.4,845.6,840.4,837.9,840.4,840.4,840.4,High MAP
HSCTRS4Y_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border,HSCCornY_2018,Hastings,840.4,845.6,840.4,837.9,840.4,840.4,840.4,High MAP
HSCTRS5Y_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border,HSCCornY_2018,Hastings,840.4,845.6,840.4,837.9,840.4,840.4,840.4,High MAP
HSCTRS6Y_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border,HSCCornY_2018,Hastings,840.4,845.6,840.4,837.9,840.4,840.4,840.4,High MAP
HSCY_2018,Yes,Yes,Y_2018,33.52,851.9,Corn,HSC,Hasting Sand Coulee ,East,850,44.424283,-92.49619,Prairie-Forest Border,HSCCornY_2018,Hastings,840.4,845.6,840.4,837.9,840.4,840.4,840.4,High MAP
HTMTRS1Y_2019,No,No,Y_2019,NA,1052.2,SCSC,HTM,Hole-in-the Mountain Prairie,West,629,44.14408,-96.17912,Northern Tallgrass Prairie,HTMSCSCY_2019,Pipestone,618.7,581.4,636.7,636.7,612.6,612.6,612.6,Low MAP
HTMTRS2Y_2019,No,No,Y_2019,NA,1052.2,SCSC,HTM,Hole-in-the Mountain Prairie,West,629,44.144083,-96.179124,Northern Tallgrass Prairie,HTMSCSCY_2019,Pipestone,618.7,581.4,636.7,636.7,612.6,612.6,612.6,Low MAP
HTMTRS3Y_2019,No,No,Y_2019,NA,1052.2,SCSC,HTM,Hole-in-the Mountain Prairie,West,629,44.144028,-96.179126,Northern Tallgrass Prairie,HTMSCSCY_2019,Pipestone,618.7,581.4,636.7,636.7,612.6,612.6,612.6,Low MAP
HTMTRS4Y_2019,No,No,Y_2019,NA,1052.2,SCSC,HTM,Hole-in-the Mountain Prairie,West,629,44.144082,-96.1791234,Northern Tallgrass Prairie,HTMSCSCY_2019,Pipestone,618.7,581.4,636.7,636.7,612.6,612.6,612.6,Low MAP
HTMTRS5Y_2019,No,No,Y_2019,NA,1052.2,SCSC,HTM,Hole-in-the Mountain Prairie,West,629,44.14408,-96.1791269,Northern Tallgrass Prairie,HTMSCSCY_2019,Pipestone,618.7,581.4,636.7,636.7,612.6,612.6,612.6,Low MAP
HTMTRS6Y_2019,No,No,Y_2019,NA,1052.2,SCSC,HTM,Hole-in-the Mountain Prairie,West,629,44.144082,-96.17912,Northern Tallgrass Prairie,HTMSCSCY_2019,Pipestone,618.7,581.4,636.7,636.7,612.6,612.6,612.6,Low MAP
KNZKNZ1_1Y_2020,No,No,Y_2019,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie,KNZSCSCY_2020,Manhattan,837.9,859,837.9,837.9,840.4,840.4,840.4,High MAP
KNZKNZ1_2Y_2020,No,No,Y_2019,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie,KNZSCSCY_2020,Manhattan,837.9,859,837.9,837.9,840.4,840.4,840.4,High MAP
KNZKNZ1_3Y_2020,No,No,Y_2019,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie,KNZSCSCY_2020,Manhattan,837.9,859,837.9,837.9,840.4,840.4,840.4,High MAP
KNZKNZ1_4Y_2020,No,No,Y_2019,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie,KNZSCSCY_2020,Manhattan,837.9,859,837.9,837.9,840.4,840.4,840.4,High MAP
KNZKNZ2_1Y_2020,No,No,Y_2019,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie,KNZSCSCY_2020,Manhattan,837.9,859,837.9,837.9,840.4,840.4,840.4,High MAP
KNZKNZ2_2Y_2020,No,No,Y_2019,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie,KNZSCSCY_2020,Manhattan,837.9,859,837.9,837.9,840.4,840.4,840.4,High MAP
KNZKNZ2_3Y_2020,No,No,Y_2019,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie,KNZSCSCY_2020,Manhattan,837.9,859,837.9,837.9,840.4,840.4,840.4,High MAP
KNZKNZ2_4Y_2020,No,No,Y_2019,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie,KNZSCSCY_2020,Manhattan,837.9,859,837.9,837.9,840.4,840.4,840.4,High MAP
KNZKNZ3_1Y_2020,No,No,Y_2019,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie,KNZSCSCY_2020,Manhattan,837.9,859,837.9,837.9,840.4,840.4,840.4,High MAP
KNZKNZ3_2Y_2020,No,No,Y_2019,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie,KNZSCSCY_2020,Manhattan,837.9,859,837.9,837.9,840.4,840.4,840.4,High MAP
KNZKNZ3_3Y_2020,No,No,Y_2019,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie,KNZSCSCY_2020,Manhattan,837.9,859,837.9,837.9,840.4,840.4,840.4,High MAP
KNZKNZ3_4Y_2020,No,No,Y_2019,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie,KNZSCSCY_2020,Manhattan,837.9,859,837.9,837.9,840.4,840.4,840.4,High MAP
KWDTRS1Y_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.1548645,-91.55963,Prairie-Forest Border,KWDCornY_2018,Kellogg,821,832,821,837.9,840.4,840.4,840.4,High MAP
KWDTRS1Y_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border,KWDCornY_2018,Kellogg,821,832,821,837.9,840.4,840.4,840.4,High MAP
KWDTRS2Y_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.1548665,-91.55963,Prairie-Forest Border,KWDCornY_2018,Kellogg,821,832,821,837.9,840.4,840.4,840.4,High MAP
KWDTRS2Y_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border,KWDCornY_2018,Kellogg,821,832,821,837.9,840.4,840.4,840.4,High MAP
KWDTRS3Y_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.1548679,-91.55963,Prairie-Forest Border,KWDCornY_2018,Kellogg,821,832,821,837.9,840.4,840.4,840.4,High MAP
KWDTRS3Y_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border,KWDCornY_2018,Kellogg,821,832,821,837.9,840.4,840.4,840.4,High MAP
KWDTRS4Y_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.1548645,-91.55963,Prairie-Forest Border,KWDCornY_2018,Kellogg,821,832,821,837.9,840.4,840.4,840.4,High MAP
KWDTRS4Y_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border,KWDCornY_2018,Kellogg,821,832,821,837.9,840.4,840.4,840.4,High MAP
KWDTRS5Y_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border,KWDCornY_2018,Kellogg,821,832,821,837.9,840.4,840.4,840.4,High MAP
KWDTRS6Y_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border,KWDCornY_2018,Kellogg,821,832,821,837.9,840.4,840.4,840.4,High MAP
KWDY_2018,Yes,Yes,Y_2018,40.95,1074.1,Corn,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.5596349,Prairie-Forest Border,KWDCornY_2018,Kellogg,821,832,821,837.9,840.4,840.4,840.4,High MAP
MPTRS1Y_2019,No,No,Y_2019,NA,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border,MPSCSCY_2019,Lacrosse,876.5,875.7,876.5,876.5,876.5,840.4,840.4,High MAP
MPTRS2Y_2019,No,No,Y_2019,NA,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border,MPSCSCY_2019,Lacrosse,876.5,875.7,876.5,876.5,876.5,840.4,840.4,High MAP
MPTRS3Y_2019,No,No,Y_2019,NA,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border,MPSCSCY_2019,Lacrosse,876.5,875.7,876.5,876.5,876.5,840.4,840.4,High MAP
MPTRS4Y_2019,No,No,Y_2019,NA,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border,MPSCSCY_2019,Lacrosse,876.5,875.7,876.5,876.5,876.5,840.4,840.4,High MAP
MPTRS5Y_2019,No,No,Y_2019,NA,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border,MPSCSCY_2019,Lacrosse,876.5,875.7,876.5,876.5,876.5,840.4,840.4,High MAP
MPTRS6Y_2019,No,No,Y_2019,NA,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border,MPSCSCY_2019,Lacrosse,876.5,875.7,876.5,876.5,876.5,840.4,840.4,High MAP
PCTRS1Y_2018,Yes,Yes,Y_2018,36.6,931.5,SCSC,PC,Prairie Coteau,West,686,44.7463,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS1Y_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS2Y_2018,Yes,Yes,Y_2018,36.6,931.5,SCSC,PC,Prairie Coteau,West,686,44.7464,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS2Y_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS3Y_2018,Yes,Yes,Y_2018,36.6,931.5,SCSC,PC,Prairie Coteau,West,686,44.7465,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS3Y_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS4Y_2018,Yes,Yes,Y_2018,36.6,931.5,SCSC,PC,Prairie Coteau,West,686,44.74659,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS4Y_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS5Y_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS6Y_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCY_2018,Yes,Yes,Y_2018,36.6,931.5,Corn,PC,Prairie Coteau,West,686,44.74682,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
RRTRS1Y_2019,No,No,Y_2019,NA,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie,RRSCSCY_2019,Windom,679.2,721.6,679.2,679.2,679.2,679.2,679.2,Mid MAP
RRTRS2Y_2019,No,No,Y_2019,NA,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie,RRSCSCY_2019,Windom,679.2,721.6,679.2,679.2,679.2,679.2,679.2,Mid MAP
RRTRS3Y_2019,No,No,Y_2019,NA,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie,RRSCSCY_2019,Windom,679.2,721.6,679.2,679.2,679.2,679.2,679.2,Mid MAP
RRTRS4Y_2019,No,No,Y_2019,NA,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie,RRSCSCY_2019,Windom,679.2,721.6,679.2,679.2,679.2,679.2,679.2,Mid MAP
RRTRS5Y_2019,No,No,Y_2019,NA,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie,RRSCSCY_2019,Windom,679.2,721.6,679.2,679.2,679.2,679.2,679.2,Mid MAP
RRTRS6Y_2019,No,No,Y_2019,NA,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie,RRSCSCY_2019,Windom,679.2,721.6,679.2,679.2,679.2,679.2,679.2,Mid MAP
SPTRS1Y_2018,Yes,Yes,Y_2018,31.85,767.4,SCSC,SP,Sioux Prairie,West,564,44.0322149,-96.78054,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS1Y_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS2Y_2018,Yes,Yes,Y_2018,31.85,767.4,SCSC,SP,Sioux Prairie,West,564,44.0322139,-96.78054,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS2Y_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS3Y_2018,Yes,Yes,Y_2018,31.85,767.4,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.7805445,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS3Y_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS4Y_2018,Yes,Yes,Y_2018,31.85,767.4,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.7805463,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS4Y_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS5Y_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS6Y_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPY_2018,Yes,Yes,Y_2018,31.85,767.4,Corn,SP,Sioux Prairie,West,564,44.032214,-96.7805454,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP