Sample,Transect,Transectsample1,Sitesample1,2Yearsample1,SCCSCornsample1,Yearsample1,YearMAP1sample1,YearMAP2sample1,Hostsample1,Codesample1,Locationsample1,Regionsample1,Rainfallsample1,Latitudesample1,Longitudesample1,Ecoregionsample1
HPC1611,TRS1Y_2019,CWRTRS1Y_2019,CWRSCSCY_2019,Yes,No,Y_2019,45.1,1075,SCSC,CWR,Cottonwood River SNA,Central,699,44.12141,-95.06171,Northern Tallgrass Prairie
HPC1618,TRS2Y_2019,CWRTRS2Y_2019,CWRSCSCY_2019,Yes,No,Y_2019,45.1,1075,SCSC,CWR,Cottonwood River SNA,Central,699,44.12141,-95.06171,Northern Tallgrass Prairie
HPC1621,TRS3Y_2019,CWRTRS3Y_2019,CWRSCSCY_2019,Yes,No,Y_2019,45.1,1075,SCSC,CWR,Cottonwood River SNA,Central,699,44.12141,-95.06171,Northern Tallgrass Prairie
HPC1626,TRS4Y_2019,CWRTRS4Y_2019,CWRSCSCY_2019,Yes,No,Y_2019,45.1,1075,SCSC,CWR,Cottonwood River SNA,Central,699,44.12141,-95.06171,Northern Tallgrass Prairie
HPC1631,TRS5Y_2019,CWRTRS5Y_2019,CWRSCSCY_2019,Yes,No,Y_2019,45.1,1075,SCSC,CWR,Cottonwood River SNA,Central,699,44.12141,-95.06171,Northern Tallgrass Prairie
HPC1637,TRS6Y_2019,CWRTRS6Y_2019,CWRSCSCY_2019,Yes,No,Y_2019,45.1,1075,SCSC,CWR,Cottonwood River SNA,Central,699,44.12141,-95.06171,Northern Tallgrass Prairie
HPC1433,TRS1Y_2019,DMRTRS1Y_2019,DMRSCSCY_2019,No,No,Y_2019,,1075,SCSC,DMR,Des Moines River Prairie,Central,704,43.47572,-95.4505,Northern Tallgrass Prairie
HPC1436,TRS2Y_2019,DMRTRS2Y_2019,DMRSCSCY_2019,No,No,Y_2019,,1075,SCSC,DMR,Des Moines River Prairie,Central,704,43.47572,-95.4505,Northern Tallgrass Prairie
HPC1441,TRS3Y_2019,DMRTRS3Y_2019,DMRSCSCY_2019,No,No,Y_2019,,1075,SCSC,DMR,Des Moines River Prairie,Central,704,43.47572,-95.450545,Northern Tallgrass Prairie
HPC1446,TRS4Y_2019,DMRTRS4Y_2019,DMRSCSCY_2019,No,No,Y_2019,,1075,SCSC,DMR,Des Moines River Prairie,Central,704,43.475742,-95.4505,Northern Tallgrass Prairie
HPC1452,TRS5Y_2019,DMRTRS5Y_2019,DMRSCSCY_2019,No,No,Y_2019,,1075,SCSC,DMR,Des Moines River Prairie,Central,704,43.47572,-95.4505,Northern Tallgrass Prairie
HPC1456,TRS6Y_2019,DMRTRS6Y_2019,DMRSCSCY_2019,No,No,Y_2019,,1075,SCSC,DMR,Des Moines River Prairie,Central,704,43.47572,-95.4505,Northern Tallgrass Prairie
HPC1642,TRS1Y_2019,HSCTRS1Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1648,TRS2Y_2019,HSCTRS2Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1651,TRS3Y_2019,HSCTRS3Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
Added,TRS3Y_2019,HSCTRS4Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1661,TRS5Y_2019,HSCTRS5Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1667,TRS6Y_2019,HSCTRS6Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1401,TRS1Y_2019,HTMTRS1Y_2019,HTMSCSCY_2019,No,No,Y_2019,,1052.2,SCSC,HTM,Hole-in-the Mountain Prairie,West,629,44.14408,-96.17912,Northern Tallgrass Prairie
HPC1406,TRS2Y_2019,HTMTRS2Y_2019,HTMSCSCY_2019,No,No,Y_2019,,1052.2,SCSC,HTM,Hole-in-the Mountain Prairie,West,629,44.144083,-96.179124,Northern Tallgrass Prairie
HPC1412,TRS3Y_2019,HTMTRS3Y_2019,HTMSCSCY_2019,No,No,Y_2019,,1052.2,SCSC,HTM,Hole-in-the Mountain Prairie,West,629,44.144028,-96.179126,Northern Tallgrass Prairie
HPC1416,TRS4Y_2019,HTMTRS4Y_2019,HTMSCSCY_2019,No,No,Y_2019,,1052.2,SCSC,HTM,Hole-in-the Mountain Prairie,West,629,44.144082,-96.1791234,Northern Tallgrass Prairie
HPC1421,TRS5Y_2019,HTMTRS5Y_2019,HTMSCSCY_2019,No,No,Y_2019,,1052.2,SCSC,HTM,Hole-in-the Mountain Prairie,West,629,44.14408,-96.1791269,Northern Tallgrass Prairie
HPC1426,TRS6Y_2019,HTMTRS6Y_2019,HTMSCSCY_2019,No,No,Y_2019,,1052.2,SCSC,HTM,Hole-in-the Mountain Prairie,West,629,44.144082,-96.17912,Northern Tallgrass Prairie
HPC1671,1_1Y_2020,KNZKNZ1_1Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1676,1_2Y_2020,KNZKNZ1_2Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1681,1_3Y_2020,KNZKNZ1_3Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1686,1_4Y_2020,KNZKNZ1_4Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1691,2_1Y_2020,KNZKNZ2_1Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1696,2_2Y_2020,KNZKNZ2_2Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1701,2_3Y_2020,KNZKNZ2_3Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1706,2_4Y_2020,KNZKNZ2_4Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1711,3_1Y_2020,KNZKNZ3_1Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1716,3_2Y_2020,KNZKNZ3_2Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1721,3_3Y_2020,KNZKNZ3_3Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1726,3_4Y_2020,KNZKNZ3_4Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1552,TRS1Y_2019,KWDTRS1Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1556,TRS2Y_2019,KWDTRS2Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1561,TRS3Y_2019,KWDTRS3Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1567,TRS4Y_2019,KWDTRS4Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1571,TRS5Y_2019,KWDTRS5Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1576,TRS6Y_2019,KWDTRS6Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1463,TRS1Y_2019,MPTRS1Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1466,TRS2Y_2019,MPTRS2Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1471,TRS3Y_2019,MPTRS3Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1476,TRS4Y_2019,MPTRS4Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1483,TRS5Y_2019,MPTRS5Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1486,TRS6Y_2019,MPTRS6Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1491,TRS1Y_2019,PCTRS1Y_2019,PCSCSCY_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie
HPC1496,TRS2Y_2019,PCTRS2Y_2019,PCSCSCY_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie
HPC1501,TRS3Y_2019,PCTRS3Y_2019,PCSCSCY_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie
HPC1506,TRS4Y_2019,PCTRS4Y_2019,PCSCSCY_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie
HPC1512,TRS5Y_2019,PCTRS5Y_2019,PCSCSCY_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie
HPC1517,TRS6Y_2019,PCTRS6Y_2019,PCSCSCY_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie
HPC1521,TRS1Y_2019,RRTRS1Y_2019,RRSCSCY_2019,No,No,Y_2019,,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie
HPC1526,TRS2Y_2019,RRTRS2Y_2019,RRSCSCY_2019,No,No,Y_2019,,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie
HPC1531,TRS3Y_2019,RRTRS3Y_2019,RRSCSCY_2019,No,No,Y_2019,,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie
HPC1536,TRS4Y_2019,RRTRS4Y_2019,RRSCSCY_2019,No,No,Y_2019,,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie
HPC1541,TRS5Y_2019,RRTRS5Y_2019,RRSCSCY_2019,No,No,Y_2019,,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie
HPC1546,TRS6Y_2019,RRTRS6Y_2019,RRSCSCY_2019,No,No,Y_2019,,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie
HPC1581,TRS1Y_2019,SPTRS1Y_2019,SPSCSCY_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie
HPC1586,TRS2Y_2019,SPTRS2Y_2019,SPSCSCY_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie
HPC1591,TRS3Y_2019,SPTRS3Y_2019,SPSCSCY_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie
HPC1596,TRS4Y_2019,SPTRS4Y_2019,SPSCSCY_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie
HPC1601,TRS5Y_2019,SPTRS5Y_2019,SPSCSCY_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie
HPC1607,TRS6Y_2019,SPTRS6Y_2019,SPSCSCY_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie